INFO  - 2013-07-04 21:10:00.792; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-07-04 21:10:00.793; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/dist/solr-clustering-4.3.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.794; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-07-04 21:10:00.795; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-07-04 21:10:00.796; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/dist/solr-langid-4.3.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.797; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-07-04 21:10:00.797; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-07-04 21:10:00.798; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-07-04 21:10:00.798; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.799; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/dist/solr-velocity-4.3.1.jar' to classloader
WARN  - 2013-07-04 21:10:00.800; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: /non/existent/dir/yields/warning (resolved as: /non/existent/dir/yields/warning).
INFO  - 2013-07-04 21:10:01.152; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-07-04 21:10:01.395; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-07-04 21:10:01.406; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-07-04 21:10:01.495; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-07-04 21:10:02.602; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-07-04 21:10:02.904; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-07-04 21:10:02.915; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-07-04 21:10:03.129; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-07-04 21:10:03.146; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at solr/collection1/, dataDir=/usr/local/solr/example/solr/collection1/data/
INFO  - 2013-07-04 21:10:03.148; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@690a02de
INFO  - 2013-07-04 21:10:03.180; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-07-04 21:10:03.180; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-07-04 21:10:03.186; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-07-04 21:10:03.204; org.apache.solr.core.CachingDirectoryFactory; return new directory for /usr/local/solr/example/solr/collection1/data
INFO  - 2013-07-04 21:10:03.205; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/usr/local/solr/example/solr/collection1/data/index/
WARN  - 2013-07-04 21:10:03.205; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/usr/local/solr/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-07-04 21:10:03.214; org.apache.solr.core.CachingDirectoryFactory; return new directory for /usr/local/solr/example/solr/collection1/data/index
INFO  - 2013-07-04 21:10:03.285; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits:num=1
